Family,Binomial,Method,Injection,Dosage mg/kg,Tested on
Viperidae,Sistrurus catenatus,LD50,IV,0.069,Pigeon
Elapidae,Hydrophis belcheri,LD50,IM,0.07,Mouse
Elapidae,Bungarus multicinctus,LD50,IV,0.071,Mouse
Elapidae,Naja atra,LD50,IP,0.074,Mouse
Elapidae,Naja siamensis,LD50,IV,0.075,Mouse
Elapidae,Oxyuranus temporalis,LD50,IP,0.075,Mouse
Elapidae,Tropidechis carinatus,LDLo,SC,0.075,Guinea Pig
Colubridae,Boiga irregularis,LD50,IV,0.08,Mouse
Viperidae,Causus rhombeatus,LDLo,SC,0.08,Mouse
Elapidae,Acanthophis antarcticus,LD50,IM,0.08,Mouse
Elapidae,Laticauda laticaudata,LDLo,IM,0.08,Monkey
Viperidae,Daboia russelii,LD50,IV,0.08,Mammal
Viperidae,Crotalus adamanteus,LDLo,IV,0.08,Cat
Elapidae,Naja mossambica,LD50,IP,0.083,Mouse
Viperidae,Bothrops asper,LD50,IC,0.084,Mouse
Elapidae,Oxyuranus scutellatus,LD50,IP,0.088,Chicken
Elapidae,Laticauda semifasciata,LD50,SC,0.0897,Guinea Pig
Elapidae,Aipysurus laevis,LD50,IM,0.09,Mouse
Elapidae,Hydrophis platurus,LD50,IV,0.09,Mouse
Elapidae,Bungarus caeruleus,LD50,IV,0.09,Mammal
Elapidae,Hydrophis ornatus,LD50,IM,0.09,Mouse
Elapidae,Naja melanoleuca,LD50,IV,0.093,Mouse
Viperidae,Protobothrops flavoviridis,LD50,IC,0.094,Mouse
Elapidae,Naja annulifera,LD50,IC,0.095,Mouse
Elapidae,Notechis scutatus,LD50,SC,0.099,Mouse
Viperidae,Cerastes cerastes,LDLo,IV,0.1,Dog
Viperidae,Echis carinatus,LDLo,IV,0.1,Dog
Viperidae,Echis carinatus,LDLo,IV,0.1,Rabbit
Elapidae,Laticauda semifasciata,LDLo,IM,0.1,Monkey
Elapidae,Bungarus multicinctus,LDLo,unknown,0.1,Cat
Viperidae,Daboia russelii,LDLo,IV,0.1,Dog
Viperidae,Daboia siamensis,LDLo,IV,0.1,Guinea Pig
Elapidae,Naja nivea,LDLo,SC,0.1,Dog
Elapidae,Naja haje,LDLo,IV,0.1,Mouse
Elapidae,Naja atra,LDLo,IC,0.1,Cat
Elapidae,Naja atra,LDLo,IV,0.1,Rabbit
Elapidae,Naja atra,LDLo,PA,0.1,Frog
Elapidae,Naja nigricollis,LDLo,IV,0.1,Dog
Elapidae,Naja naja,LDLo,IV,0.1,Monkey
Viperidae,Crotalus ruber,LDLo,IV,0.105,Pigeon
Elapidae,Hydrophis stricticollis,LD50,IV,0.108,Mouse
Viperidae,Crotalus scutulatus,LD50,IP,0.11,Mouse
Viperidae,Bitis atropos,LD50,IV,0.111,Mouse
